iteration,fittest,mean_fitness,weakest,mean_links,max_links,min_links
0,0.158,-37.756,-79.864,4.218,9,2
1,0.158,-38.796,-79.872,4.717,8,1
2,0.16,-34.825,-59.888,4.875,8,2
3,0.16,-37.277,-59.891,4.68,9,2
4,0.16,-34.376,-69.861,4.785,9,2
5,0.16,-34.725,-59.887,4.71,9,2
6,0.16,-35.824,-59.889,4.635,9,2
7,0.16,-37.323,-69.858,4.71,9,1
8,0.16,-34.026,-59.892,4.6,9,1
9,0.16,-34.424,-59.899,4.68,9,1
10,0.168,-35.425,-59.892,4.745,8,2
11,0.171,-35.124,-59.896,4.57,9,2
12,0.171,-32.272,-79.87,5.155,9,2
13,0.171,-36.724,-59.893,4.43,8,2
14,0.177,-34.573,-59.892,4.565,9,1
15,0.177,-35.621,-59.896,4.925,8,2
16,0.177,-35.422,-59.895,4.465,9,1
17,0.177,-34.622,-59.893,4.555,7,1
18,0.182,-35.272,-79.881,4.385,9,1
19,0.191,-36.074,-69.848,4.305,9,1
20,0.191,-31.222,-59.889,5.19,10,2
21,0.191,-24.474,-59.893,5.765,9,2
22,0.191,-26.324,-59.883,5.6,9,1
23,0.191,-25.723,-59.885,5.72,9,2
24,0.191,-26.325,-79.876,5.745,10,3
25,0.191,-27.024,-79.876,5.565,9,2
26,0.191,-25.723,-59.891,5.74,9,1
27,0.191,-23.624,-59.897,5.835,11,1
28,0.191,-23.872,-79.879,5.835,9,1
29,0.191,-24.123,-59.903,5.9,11,3
30,0.191,-23.674,-79.876,6.03,11,1
31,0.191,-23.773,-59.9,6.0,10,1
32,0.191,-23.574,-59.879,5.855,10,1
33,0.191,-21.772,-59.892,6.055,11,3
34,0.191,-22.972,-59.89,5.97,9,2
35,0.191,-22.623,-59.889,6.07,12,3
36,0.191,-23.072,-59.896,5.965,9,2
37,0.191,-23.324,-59.892,5.885,10,2
38,0.191,-21.773,-59.882,6.06,10,1
39,0.191,-24.524,-59.893,5.825,9,2
40,0.191,-23.525,-59.894,5.875,11,2
41,0.191,-21.324,-59.897,6.085,11,2
42,0.191,-21.121,-69.878,6.07,9,2
43,0.191,-23.973,-59.895,5.91,11,1
44,0.191,-22.074,-59.893,6.0,11,1
45,0.191,-22.422,-59.887,5.895,10,1
46,0.191,-23.374,-59.893,5.975,10,2
47,0.191,-23.323,-59.888,5.835,11,1
48,0.191,-20.722,-59.879,6.21,9,1
49,0.191,-21.923,-59.884,5.89,9,1
50,0.191,-24.074,-59.889,5.975,11,3
51,0.191,-22.522,-59.899,6.08,11,3
52,0.191,-23.374,-59.909,6.055,10,2
53,0.191,-24.023,-59.897,5.93,11,1
54,0.192,-24.324,-59.884,5.87,10,1
55,0.193,-24.074,-59.893,5.79,9,2
56,0.193,-33.925,-59.895,4.72,9,2
57,0.193,-18.373,-59.883,6.68,11,3
58,0.193,-18.273,-59.891,6.655,11,1
59,0.193,-17.323,-59.903,6.845,12,1
60,0.193,-16.774,-59.902,6.845,11,3
61,0.193,-18.873,-59.89,6.605,11,2
62,0.193,-19.323,-59.901,6.715,11,3
63,0.193,-16.522,-59.892,6.7,11,3
64,0.193,-17.225,-59.895,6.815,11,3
65,0.193,-16.823,-69.879,6.735,11,1
66,0.193,-19.675,-79.882,6.495,11,1
67,0.193,-17.422,-59.888,6.83,11,3
68,0.195,-19.823,-59.885,6.595,11,1
69,0.195,-20.224,-69.848,6.54,10,1
70,0.195,-27.672,-79.87,5.845,9,1
71,0.195,-24.672,-79.875,6.075,11,3
72,0.195,-25.272,-79.888,6.14,10,3
73,0.195,-28.725,-79.889,5.965,11,2
74,0.195,-25.074,-79.878,6.105,11,2
75,0.195,-26.574,-69.894,6.0,11,3
76,0.195,-25.272,-79.868,6.095,9,3
77,0.198,-27.171,-79.885,5.98,9,2
78,0.198,-23.823,-79.861,6.035,10,1
79,0.198,-31.673,-59.894,5.19,9,2
80,0.198,-34.925,-79.85,5.11,11,2
81,0.198,-32.624,-59.897,5.035,9,2
82,0.198,-30.924,-69.87,5.34,11,2
83,0.198,-34.271,-79.868,4.86,11,2
84,0.2,-34.175,-59.899,5.09,11,1
85,0.2,-33.624,-79.869,5.05,9,1
86,0.2,-31.574,-79.861,5.275,10,2
87,0.2,-32.925,-59.892,5.165,9,2
88,0.2,-33.025,-79.874,5.17,9,2
89,0.2,-31.223,-59.902,5.215,9,1
90,0.2,-34.724,-59.899,4.92,9,2
91,0.2,-34.424,-69.889,5.06,9,2
92,0.2,-32.875,-59.901,5.275,9,1
93,0.2,-31.823,-69.872,5.105,10,2
94,0.2,-32.125,-69.876,5.14,9,2
95,0.2,-29.576,-79.872,5.445,11,2
96,0.2,-31.224,-59.894,5.35,9,2
97,0.2,-31.575,-79.858,5.22,10,2
98,0.2,-31.475,-59.901,5.28,11,1
99,0.2,-30.923,-59.9,5.16,9,2
100,0.2,-30.123,-59.893,5.31,11,1
101,0.2,-31.723,-69.89,5.27,11,2
102,0.2,-33.275,-59.894,5.02,9,2
103,0.2,-33.624,-79.879,5.065,9,3
104,0.2,-34.376,-69.894,4.905,11,2
105,0.2,-33.972,-79.869,5.035,9,1
106,0.2,-31.575,-59.899,5.385,9,2
107,0.2,-32.975,-59.889,4.49,9,2
108,0.2,-30.275,-59.898,4.74,9,2
109,0.2,-31.224,-59.894,4.75,9,2
110,0.2,-32.625,-59.886,4.655,9,2
111,0.2,-33.275,-59.903,4.635,8,2
112,0.204,-32.024,-59.903,4.59,9,1
113,0.204,-32.325,-59.89,4.69,9,1
114,0.204,-30.874,-59.896,4.875,11,1
115,0.204,-34.175,-59.895,4.665,9,2
116,0.204,-30.025,-59.893,4.86,9,1
117,0.204,-31.424,-59.897,4.72,8,2
118,0.204,-30.571,-59.888,4.94,9,1
119,0.204,-32.825,-59.896,4.775,7,2
120,0.204,-30.726,-69.882,5.38,9,2
121,0.204,-33.825,-69.894,5.15,9,1
122,0.204,-30.724,-79.886,5.46,10,3
123,0.204,-32.676,-79.856,5.275,10,1
124,0.204,-30.526,-69.881,5.405,9,1
125,0.204,-35.425,-69.881,5.165,9,1
126,0.204,-33.973,-69.879,5.205,9,2
127,0.204,-31.423,-69.877,5.37,9,2
128,0.204,-33.372,-79.891,5.25,10,2
129,0.204,-34.474,-79.861,5.055,8,2
130,0.204,-32.224,-69.864,5.355,9,2
131,0.204,-33.275,-69.893,5.19,9,2
132,0.204,-32.274,-69.886,5.215,10,2
133,0.204,-34.773,-69.897,5.1,9,2
134,0.204,-32.124,-69.877,5.29,9,2
